ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
SetRoutingBucketEntityLockdownMode	Sets the entity lockdown mode for a specific routing bucket.\n\nLockdown modes are:\n\n| Mode       | Meaning                                                    |\n| ---------- | ---------------------------------------------------------- |\n| `strict`   | No entities can be created by clients at all.              |\n| `relaxed`  | Only script-owned entities created by clients are blocked. |\n| `inactive` | Clients can create any entity they want.                   |\n\n**Parameters**\n- `bucketId`: The routing bucket ID to adjust.\n- `mode`: One of aforementioned modes.
SetRoutingBucketPopulationEnabled	Sets whether or not the specified routing bucket has automatically-created population enabled.\n\n**Parameters**\n- `bucketId`: The routing bucket ID to adjust.\n- `mode`: `true` to enable population, `false` to disable population.
SetRunSprintMultiplierForPlayer	```\nMultiplier goes up to 1.49 any value above will be completely overruled by the game and the multiplier will not take effect, this can be edited in memory however.  \nJust call it one time, it is not required to be called once every tick.  \nNote: At least the IDA method if you change the max float multiplier from 1.5 it will change it for both this and SWIM above. I say 1.5 as the function blrs if what you input is greater than or equal to 1.5 hence why it's 1.49 max default.  \nIt is not possible to "decrease" speed. Anything below 1 will be ignored.  \n```
SetRuntimeTextureImage	Replaces the pixel data in a runtime texture with the image data from a file in the current resource, or a data URL.\n\nIf the bitmap is a different size compared to the existing texture, it will be resampled.\n\nThis command may end up executed asynchronously, and only update the texture data at a later time.\n\n**Parameters**\n- `tex`: A runtime texture handle.\n- `fileName`: The file name of an image to load, or a base64 "data:" URL. This should preferably be a PNG, and has to be specified as a `file` in the resource manifest.\n\n**Returns** TRUE for success, FALSE for failure.
SetRuntimeTexturePixel	Sets a pixel in the specified runtime texture. This will have to be committed using `COMMIT_RUNTIME_TEXTURE` to have any effect.\n\n**Parameters**\n- `tex`: A handle to the runtime texture.\n- `x`: The X position of the pixel to change.\n- `y`: The Y position of the pixel to change.\n- `r`: The new R value (0-255).\n- `g`: The new G value (0-255).\n- `b`: The new B value (0-255).\n- `a`: The new A value (0-255).
SetSaveMenuActive	```\nignoreVehicle - bypasses vehicle check of the local player (it will not open if you are in a vehicle and this is set to false)\n```
SetSaveMigrationTransactionId	```\nSets profile setting 501\n```
SetScaleformMovieToUseLargeRt	```\nNativeDB Introduced: v573\n```\n\nConfigures a Scaleform movie to render to a large render target (1280x720), which is useful for ensuring higher quality and clarity in certain display scenarios. Such as displaying the name of an organization (CEO Office) in a visually impactful way for example.\n\n**Parameters**\n- `scaleformMovieId`: The handle of the Scaleform to be used.\n- `useLargeRT`: A boolean switch to enable/disable the use of the large rendertarget.
SetScaleformMovieToUseSuperLargeRt	Adjusts a scaleform movie's dimensions to fit a large rendertarget. Mostly used in casino scripts.
SetScenarioGroupEnabled	```\nOccurrences in the b617d scripts: pastebin.com/Tvg2PRHU  \n```
SetScenarioPedDensityMultiplierThisFrame	Set the number of scenario peds on the entire map\n\n**Parameters**\n- `interiorMult`: Multiplier for ped scenarios inside interiors.\n- `exteriorMult`: Multiplier for ped scenarios outside interiors.
SetScenarioPedsToBeReturnedByNextCommand	```\nSets a value indicating whether scenario peds should be returned by the next call to a command that returns peds. Eg. GET_CLOSEST_PED.  \n```
SetScenarioTypeEnabled	```\nseems to enable/disable specific scenario-types from happening in the game world.\nHere are some scenario types from the scripts:\n"WORLD_MOUNTAIN_LION_REST"\n"WORLD_MOUNTAIN_LION_WANDER"\n"DRIVE"\n"WORLD_VEHICLE_POLICE_BIKE"\n"WORLD_VEHICLE_POLICE_CAR"\n"WORLD_VEHICLE_POLICE_NEXT_TO_CAR"\n"WORLD_VEHICLE_DRIVE_SOLO"\n"WORLD_VEHICLE_BIKER"\n"WORLD_VEHICLE_DRIVE_PASSENGERS"\n"WORLD_VEHICLE_SALTON_DIRT_BIKE"\n"WORLD_VEHICLE_BICYCLE_MOUNTAIN"\n"PROP_HUMAN_SEAT_CHAIR"\n"WORLD_VEHICLE_ATTRACTOR"\n"WORLD_HUMAN_LEANING"\n"WORLD_HUMAN_HANG_OUT_STREET"\n"WORLD_HUMAN_DRINKING"\n"WORLD_HUMAN_SMOKING"\n"WORLD_HUMAN_GUARD_STAND"\n"WORLD_HUMAN_CLIPBOARD"\n"WORLD_HUMAN_HIKER"\n"WORLD_VEHICLE_EMPTY"\n"WORLD_VEHICLE_BIKE_OFF_ROAD_RACE"\n"WORLD_HUMAN_PAPARAZZI"\n"WORLD_VEHICLE_PARK_PERPENDICULAR_NOSE_IN"\n"WORLD_VEHICLE_PARK_PARALLEL"\n"WORLD_VEHICLE_CONSTRUCTION_SOLO"\n"WORLD_VEHICLE_CONSTRUCTION_PASSENGERS"\n"WORLD_VEHICLE_TRUCK_LOGS"\nscenarioType could be the same as scenarioName, used in for example TASK::TASK_START_SCENARIO_AT_POSITION.\n```
SetScriptGfxAlign	This function anchors script draws to a side of the safe zone. This needs to be called to make the interface\nindependent of the player's safe zone configuration.\n\nThese values are equivalent to `alignX` and `alignY` in `common:/data/ui/frontend.xml`, which can be used as a baseline\nfor default alignment.\n\nValid values for `horizontalAlign`, from original documentation:\n\n*   **C (67)** - Center: DRAW_TEXT starts in the middle of the screen, while DRAW_RECT starts on the right; both move with\n    the right side of the screen.\n*   **L (76)** - Left: Anchors to the left side, DRAW_RECT starts on the left side of the screen, same as DRAW_TEXT when\n    centered.\n*   **R (82)** - Right: DRAW_TEXT starts on the left side (normal 0,0), while DRAW_RECT starts some short distance away\n    from the right side of the screen, both move with the right side of the screen.\n\nValid values for `verticalAlign`, from original documentation:\n\n*   **B (66)** - Bottom: DRAW_RECT starts about as far as the middle of the map from the bottom, while DRAW_TEXT is about\n    rather centered.\n*   **C (67)** - Center: It starts at a certain distance from the bottom, but the distance is fixed, the distance is\n    different from 66.\n*   **T (84)** - Top: Anchors to the top, DRAW_RECT starts on the top of the screen, DRAW_TEXT just below it.\n\nUsing any other value (including 0) will result in the safe zone not being taken into account for this draw. The\ncanonical value for this is 'I' (73).\n\nFor example, you can use `SET_SCRIPT_GFX_ALIGN(0, 84)` to only scale on the Y axis (to the top), but not change the X\naxis.\n\nTo reset the value, use `RESET_SCRIPT_GFX_ALIGN`.\n\n**Parameters**\n- `horizontalAlign`: The horizontal alignment. This can be 67 ('C'), 76 ('L'), or 82 ('R').\n- `verticalAlign`: The vertical alignment. This can be 67 ('C'), 66 ('B'), or 84 ('T').\n\n```lua\n-- align the next draw to the top left\nSetScriptGfxAlign(string.byte('L'), string.byte('T'))\n\n-- prints "THIS LABEL NEEDS TO BE HERE !!!"\nBeginTextCommandDisplayText('DUMMY1')\nEndTextCommandDisplayText(0.0, 0.0)\n\n-- reset the script draw alignment\nResetScriptGfxAlign()\n```
SetScriptGfxAlignParams	Sets the draw offset/calculated size for `SET_SCRIPT_GFX_ALIGN`. If using any alignment other than left/top, the game\nexpects the width/height to be configured using this native in order to get a proper starting position for the draw\ncommand.\n\n**Parameters**\n- `x`: The X offset for the item to be drawn.\n- `y`: The Y offset for the item to be drawn.\n- `w`: The width of the item to be drawn.\n- `h`: The height of the item to be drawn.
SetScriptGfxDrawBehindPausemenu	Sets a flag defining whether or not script draw commands should continue being drawn behind the pause menu. This is usually used for TV channels and other draw commands that are used with a world render target.\n\n**Parameters**\n- `flag`: A boolean value.
SetScriptGfxDrawOrder	Sets the draw order for script draw commands.\nExamples from decompiled scripts:\nGRAPHICS::SET_SCRIPT_GFX_DRAW_ORDER(7);\nGRAPHICS::DRAW_RECT(0.5, 0.5, 3.0, 3.0, v\\_4, v\\_5, v\\_6, a\\_0.\\_f172, 0);\nGRAPHICS::SET_SCRIPT_GFX_DRAW_ORDER(1);\nGRAPHICS::DRAW_RECT(0.5, 0.5, 1.5, 1.5, 0, 0, 0, 255, 0);\n\n```cpp\nenum eGfxDrawOrder\n{\n    GFX_ORDER_BEFORE_HUD_PRIORITY_LOW = 0,\n    GFX_ORDER_BEFORE_HUD = 1,\n    GFX_ORDER_BEFORE_HUD_PRIORITY_HIGH = 2,\n    GFX_ORDER_AFTER_HUD_PRIORITY_LOW = 3,\n    GFX_ORDER_AFTER_HUD = 4,\n    GFX_ORDER_AFTER_HUD_PRIORITY_HIGH = 5,\n    GFX_ORDER_AFTER_FADE_PRIORITY_LOW = 6,\n    GFX_ORDER_AFTER_FADE = 7,\n    GFX_ORDER_AFTER_FADE_PRIORITY_HIGH = 8,\n}\n```\n\n**Parameters**\n- `order`: The intended draw order/layer.
SetScriptVariableHudColour	```\nSets the color of HUD_COLOUR_SCRIPT_VARIABLE\n```
SetScriptVariable_2HudColour	```\nSets the color of HUD_COLOUR_SCRIPT_VARIABLE_2\n```
SetScriptVehicleGenerator	```\nOnly called once in the decompiled scripts. Presumably activates the specified generator.  \n```
SetSeethrough	```\nToggles Heatvision on/off.  \n```
SetSirenKeepOn	```\nNativeDB Introduced: v2372\n```
SetSnowLevel	```\nNativeDB Introduced: v1868\n```
SetSocialClubTour	```\nHUD::SET_SOCIAL_CLUB_TOUR("Gallery");\nHUD::SET_SOCIAL_CLUB_TOUR("Missions");\nHUD::SET_SOCIAL_CLUB_TOUR("General");\nHUD::SET_SOCIAL_CLUB_TOUR("Playlists");\n```
SetSpecialAbility	```\nNativeDB Added Parameter 3: Any p2\n```
SetSpecialFlightModeAllowed	Allows locking the hover/non-hover mode of a vehicle, such as the flying mode of the `Deluxo`. In the decompiled scripts, this native is used on `oppressor2` but couldn't get it to work on it.\n\n**Parameters**\n- `vehicle`: The vehicle to which the locking state will be applied.\n- `toggle`: Boolean parameter where setting `false` locks the current state of the vehicle, preventing transitions such as the `Deluxo` or Oppressor switching between their flying and driving modes. Setting it to `true` allows changing the vehicle state as usual.\n\n```lua\n-- Checks the altitude of the Deluxo and locks its current mode when above 150 meters.\n-- If the Deluxo is in flying mode at this altitude, it will be unable to switch to driving mode, and vice versa.\nCitizen.CreateThread(function()\n    local coords -- Variable to store the vehicle's coordinates.\n    local vehicle -- Variable to store the vehicle entity.\n    \n    repeat\n        vehicle = GetVehiclePedIsIn(PlayerPedId(), false) -- Get the vehicle the player is currently in.\n        \n        if (GetEntityModel(vehicle) == joaat("deluxo")) then -- Check if the vehicle is a Deluxo.\n            coords = GetEntityCoords(vehicle) -- Get the current coordinates of the vehicle.\n        end\n        \n        Citizen.Wait(0) -- Wait for the next frame.\n        \n    until coords.z >= 150.0 -- Keep looping until the Deluxo is above 150 meters.\n    \n    SetSpecialFlightModeAllowed(vehicle, false) -- Lock the Deluxo's current mode (flying or driving).\nend)\n```
SetSpecialFlightModeRatio	Used alongside [`SET_SPECIAL_FLIGHT_MODE_TARGET_RATIO`](#\\_0x438B3D7CA026FE91), this function initiates hover transformation for vehicles with a hover mode, like the `Deluxo`, based on a specified ratio (0.0 to 1.0). Incorrect values can glitch the vehicle. Without pairing, vehicles revert to car mode. Ineffective on the `oppressor2`\n\n**Parameters**\n- `vehicle`: The vehicle to which the ratio will be applied.\n- `ratio`: A value between 0.0 and 1.0 indicating the target state for the vehicle's hover mode transition. In decompiled scripts, a common usage is 0.75 - GetFrameTime(). Exceeding the maximum can cause the `Deluxo's` wheels to glitch, delaying their return to the initial position.\n\n```lua\n-- In this case we are enabling the hover mode for the vehicle and initiates hover transformation.\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nSetSpecialFlightModeRatio(vehicle, 0.75 - GetFrameTime())\nSetVehicleHoverTransformPercentage(vehicle, 1.0)\n```
SetSpecialFlightModeTargetRatio	According to decompiled scripts this should work with the `deluxo` and `oppressor2` vehicles.\nDoes nothing when used on `oppressor2`.\n\nFor the deluxo:\n\n*   Set `state` to `0.0`: Fully transform to a 'road' vehicle (non-hover mode).\n*   Set `state` to `1.0`: Fully transform to a 'flying' vehicle (hover mode).\n\nIf you set it to something like 0.5, then something [weird happens](https://streamable.com/p6wmr), you end up in some 50% hover mode, 50% not hover mode.\n\nThis doesn't need to be called every tick, just once and the vehicle will transform to that state at the usual transform speed. It'll just stop transforming when it reaches the state you provided.\n\nOnce this native is used then players will just be able to hit the vehicle transform key to toggle the transformation cycle; it won't block users from using the key.\n\n**Parameters**\n- `vehicle`: The vehicle (a deluxo or oppressor2).\n- `state`: The transform state (value between 0.0 and 1.0).\n\n```lua\n-- In this case we are enabling the hover mode for the deluxo (fyling mode)\nlocal vehicle = GetVehiclePedIsIn(PlayerPedId(), false)\nSetSpecialFlightModeTargetRatio(vehicle, 1.0)\n```
SetStateBagValue	Internal function for setting a state bag value.
SetStateOfClosestDoorOfType	```\nHardcoded to not work in multiplayer.  \nUsed to lock/unlock doors to interior areas of the game.  \n(Possible) Door Types:  \npastebin.com/9S2m3qA4  \nHeading is either 1, 0 or -1 in the scripts. Means default closed(0) or opened either into(1) or out(-1) of the interior.  \nLocked means that the heading is locked.    \np6 is always 0.   \n225 door types, model names and coords found in stripclub.c4:  \npastebin.com/gywnbzsH  \nget door info: pastebin.com/i14rbekD  \n```
SetStateOfRayfireMapObject	```\nDefines the state of a destructible object.\nUse the GET_RAYFIRE_MAP_OBJECT native to find an object's handle with its name / coords.\nState 2 == object just spawned\nState 4 == Beginning of the animation\nState 6 == Start animation\nState 9 == End of the animation\n```
SetStaticEmitterEnabled	```\nExample:\nAUDIO::SET_STATIC_EMITTER_ENABLED((Any*)"LOS_SANTOS_VANILLA_UNICORN_01_STAGE", false);    AUDIO::SET_STATIC_EMITTER_ENABLED((Any*)"LOS_SANTOS_VANILLA_UNICORN_02_MAIN_ROOM", false);    AUDIO::SET_STATIC_EMITTER_ENABLED((Any*)"LOS_SANTOS_VANILLA_UNICORN_03_BACK_ROOM", false);\nThis turns off surrounding sounds not connected directly to peds.\n```
SetStoreEnabled	```\nAccess to the store for shark cards etc...  \n```
SetSuperJumpThisFrame	Allows the player to perform super jumps. This function must be called every frame for it to work.\nIt basically OR's a flag for a single frame, allowing the ped to perform a super jump only when the flag is set.\n\n**Parameters**\n- `player`: The player we are setting this for.\n\n```lua\nCitizen.CreateThread(function()\n    while true do\n        SetSuperJumpThisFrame(PlayerId())\n        -- Try enabling the two down below if you also want invincibility and no ragdoll effects\n        --SetPlayerInvincible(PlayerId(), true)\n        --SetPedCanRagdoll(PlayerPedId(), false)\n        Citizen.Wait(0)\n    end\nend)\n```
SetSwimMultiplierForPlayer	```\nSwim speed multiplier.  \nMultiplier goes up to 1.49  \nJust call it one time, it is not required to be called once every tick. - Note copied from below native.  \nNote: At least the IDA method if you change the max float multiplier from 1.5 it will change it for both this and RUN_SPRINT below. I say 1.5 as the function blrs if what you input is greater than or equal to 1.5 hence why it's 1.49 max default.  \n```
SetTableGamesCameraThisUpdate	Override the camera work of the third-person camera to table game for current frame only.\n\n|                  HashKey                    |       Hash        |    Game         |\n| :---------------------------------: | :-----------:| :-------------:  |\n| `CASINO_LUCKY_WHEEL_CAMERA` |   `5891389`   |  Lucky Wheel    |\n| `CASINO_SLOT_MACHINE_CAMERA` |  `518572876`  |     Slots       |\n| `CASINO_ROULETTE_CAMERA` |   `71681063`  |    Roulette     |\n| `CASINO_BLACKJACK_CAMERA` | `-2124244681` |    Blackjack    |\n| `CASINO_POKER_CAMERA` | `-1938411241` |   Three Cards   |\n| `CASINO_INSIDE_TRACK_CAMERA` | `1929822423` |   Inside Track    |\n| `ARCADE_LOVE_PROFESSOR_P1_CAMERA` | `545868034` |   LoveProfessorP1   |\n| `ARCADE_LOVE_PROFESSOR_P2_CAMERA` | `935304251` |   LoveProfessorP2   |\n\n**Parameters**\n- `hash`: Hash for table game\n\n**Returns** Returns a boolean value indicating if the camera settings were successfully overriden for this current frame.\n\n```lua\nCreateThread(function()\n    while true do\n      -- override to lucky wheel camera work\n      SetTableGamesCameraThisUpdate(GetHashKey("CASINO_LUCKY_WHEEL_CAMERA"))\n      Wait(0)\n    end\nend)\n```
SetTaskMoveNetworkSignalBool	\n\n**Parameters**\n- `ped`: The ped that's performing the task.\n- `signalName`: The property name.\n- `value`: The property value to set.
SetTaskMoveNetworkSignalFloat	```\np0 - PLAYER::PLAYER_PED_ID();\np1 - "Phase", "Wobble", "x_axis","y_axis","introphase","speed".\np2 - From what i can see it goes up to 1f (maybe).\n-LcGamingHD\nExample: TASK::_D5BB4025AE449A4E(PLAYER::PLAYER_PED_ID(), "Phase", 0.5);\n```\n\n**Parameters**\n- `ped`: The ped on which the task is playing.\n- `signalName`: The property name.\n- `value`: The property value to set.
SetTaskMoveNetworkSignalFloat_2	```\nNativeDB Introduced: v1493\n```
SetTaskVehicleChaseBehaviorFlag	```\n* Flag 1: Aggressive ramming of suspect\n* Flag 2: Ram attempts\n* Flag 8: Medium-aggressive boxing tactic with a bit of PIT\n* Flag 16: Ramming, seems to be slightly less aggressive than 1-2.\n* Flag 32: Stay back from suspect, no tactical contact. Convoy-like.\n```
SetTaxiLights	```\nThis is not tested - it's just an assumption.  \nDoesn't seem to work.  I'll try with an int instead. --JT  \nRead the scripts, im dumpass.   \nDoesn't work at all, wether with an bool neither an int  \n                            if (!VEHICLE::IS_TAXI_LIGHT_ON(l_115)) {  \n                                VEHICLE::SET_TAXI_LIGHTS(l_115, 1);  \n                            }  \n```
SetTextColour	```\ncolors you input not same as you think?\nA: for some reason its R B G A\n```
SetTextDropshadow	distance - shadow distance in pixels, both horizontal and vertical\nr, g, b, a - color\n\n**Parameters**\n- `distance`: Shadow distance in pixels, both horizontal and vertical.\n- `r`: Red color.\n- `g`: Green color.\n- `b`: Blue color.\n- `a`: Alpha.
SetTextEdge	**This native does absolutely nothing, just a nullsub**
SetTextFont	```cpp\nenum eTextFonts\n{\n    FONT_STANDARD = 0,\n    FONT_CURSIVE = 1,\n    FONT_ROCKSTAR_TAG = 2,\n    FONT_LEADERBOAR0D = 3,\n    FONT_CONDENSED = 4,\n    FONT_STYLE_FIXED_WIDTH_NUMBERS = 5,\n    FONT_CONDENSED_NOT_GAMERNAME = 6,\n    FONT_STYLE_PRICEDOWN = 7,\n    FONT_STYLE_TAXI = 8,\n}\n```
SetTextInputBoxEnabled	Toggles if the text input box can be opened with [`DISPLAY_ONSCREEN_KEYBOARD`](#\\_0x00DC833F2568DBF6).
SetTextJustification	```\nTypes -  \n0: Center-Justify  \n1: Left-Justify  \n2: Right-Justify  \nRight-Justify requires SET_TEXT_WRAP, otherwise it will draw to the far right of the screen  \n```
SetTextProportional	**This native does absolutely nothing, just a nullsub**
SetTextScale	```\nSize range : 0F to 1.0F\np0 is unknown and doesn't seem to have an effect, yet in the game scripts it changes to 1.0F sometimes.\n```
SetTextWrap	```\nIt sets the text in a specified box and wraps the text if it exceeds the boundries. Both values are for X axis. Useful when positioning text set to center or aligned to the right.  \nstart - left boundry on screen position (0.0 - 1.0)  \nend - right boundry on screen position (0.0 - 1.0)  \n```
SetThisScriptCanRemoveBlipsCreatedByAnyScript	Normally, blips can only be removed by the script or resource that created them. However, this native function allows a script to bypass this logic and remove blips from any script.\n\n**Parameters**\n- `toggle`: Bool indicating if the script that called this native can remove blips created by other scripts.
SetThreadPriority	```\n0 = high\n1 = normal\n2 = low\n```
SetTimeScale	```\nMaximum value is 1.  \nAt a value of 0 the game will still run at a minimum time scale.  \nSlow Motion 1: 0.6  \nSlow Motion 2: 0.4  \nSlow Motion 3: 0.2  \n```
SetTimecycleModifier	```\nLoads the specified timecycle modifier. Modifiers are defined separately in another file (e.g. "timecycle_mods_1.xml")\nParameters:\nmodifierName - The modifier to load (e.g. "V_FIB_IT3", "scanline_cam", etc.)\n```
SetTimecycleModifierVar	\n\n**Parameters**\n- `modifierName`: The name of timecycle modifier.\n- `varName`: The name of timecycle variable.\n- `value1`: The first value of variable.\n- `value2`: The second value of variable.\n\n```lua\nlocal modifierName = "superDARK"\nlocal varName = "postfx_noise"\n\nif DoesTimecycleModifierHasVar(modifierName, varName) then\n  local success, value1, value2 = GetTimecycleModifierVar(modifierName, varName)\n\n  if success then\n    print(string.format("[%s] removed var %s with values: %f %f", modifierName, varName, value1, value2))\n    RemoveTimecycleModifierVar(modifierName, varName)\n  end\nelse\n    SetTimecycleModifierVar(modifierName, varName, 1.0, 1.0)\n    print(string.format("[%s] created var %s", modifierName, varName))\nend\n```
SetTrackBrakingDistance	Sets the braking distance of the track. Used by trains to determine the point to slow down when entering a station.\n\n**Parameters**\n- `track`: The track id (between 0 - 27)\n- `brakingDistance`: The new braking distance
SetTrackEnabled	Toggles the track being active. If disabled mission trains will not be able to spawn on this track and will look for the next closest track to spawn\n\n**Parameters**\n- `track`: The track id (between 0 - 27)\n- `enabled`: Should this track be enabled
SetTrackJunctionActive	Sets the state of a track junction.\n\n**Parameters**\n- `junctionIndex`: The junctions index\n- `state`: Toggles the state of the junction\n\n**Returns** Returns if it succeeds setting the junctions state or not
SetTrackMaxSpeed	Sets the max speed for the train tracks. Used by ambient trains and for station calculations\n\n**Parameters**\n- `track`: The track id (between 0 - 27)\n- `newSpeed`: The tracks new speed
SetTrailerLegsLowered	```\nInverse of 0x95CF53B3D687F9FA\n```\n\n```\nNativeDB Added Parameter 1: Vehicle vehicle\n```
SetTrailerLegsRaised	```\nin the decompiled scripts, seems to be always called on the vehicle right after being attached to a trailer.\n```
SetTrainCruiseSpeed	Used to control train speed, can be used to start and stop its movement as well.\n\n```lua\nlocal train = CreateMissionTrain(21, 40.2, -1201.3, 31.0, false)\nSetTrainCruiseSpeed(train, 20.0) -- Can be used to 'start' the train\nSetTrainCruiseSpeed(train, 0.0) -- Can be used to 'stop' the train\n```
SetTrainDoorOpenRatio	Sets the ratio that a door is open for on a train.\n\n**Parameters**\n- `train`: The train to set the door ratio for.\n- `doorIndex`: Zero-based door index.\n- `ratio`: A value between 0.0 (fully closed) and 1.0 (fully open).\n\n```lua\n-- open all doors on a train\nlocal doorCount = GetTrainDoorCount(train)\nfor doorIndex = 0, doorCount - 1 do\n    SetTrainDoorOpenRatio(train, doorIndex, 1.0)\nend\n```
SetTrainState	\n\n**Parameters**\n- `train`: The train handle\n- `state`: The trains new state\n\n**Returns** The trains current state, refer to [GET_TRAIN_STATE](#\\_0x81B50033)
SetTrainStopAtStations	Toggles a train's ability to stop at stations\n\n**Parameters**\n- `train`: The train handle\n- `state`: True to make the train stop at stations. False to make the train not stop at stations
SetTrainTrackSpawnFrequency	```\nOnly called once inside main_persitant with the parameters, 0  \n```
SetTrainsForceDoorsOpen	Enables or disables whether train doors should be forced open whilst a player is inside the train. This is enabled by default in multiplayer.\n\n**Parameters**\n- `forceOpen`: Should force open.
SetTransformRateForAnimation	Affects the playback speed of the submarine car conversion animations. Does not affect hardcoded animations such as the wheels being retracted. In decompiled scripts the only value used for transformRate is 2.5.\n\n**Parameters**\n- `vehicle`: The vehicle for which the submarine car conversion animation speed should be adjusted.\n- `transformRate`: The rate at which the submarine car conversion animations will be played.\n\n```lua\n-- This example sets the transform rate for the submarine car conversion animations to 2.5\n\n-- Retrieve the player ped\nlocal playerPed = PlayerPedId()\n\n-- Retrieve the vehicle in which the player is currently seated\nlocal vehicle = GetVehiclePedIsIn(playerPed, false) -- Get the vehicle in which the player is currently seated\n\n-- Retrieve the vehicle model hash\nlocal vehicleHash = GetEntityModel(vehicle)\n\n-- Check if the vehicle exists in the game world and if it is a Stromberg.\nif not DoesEntityExist(vehicle) or not vehicleHash == GetHashKey("stromberg") then\n    -- If the vehicle does not exist or it's not a stromberg, end the execution of the code here.\n    return\nend\n\n-- Set the transform rate for the submarine car conversion animations to 2.5\nSetTransformRateForAnimation(vehicle, 2.5)\n```
SetTransformToSubmarineUsesAlternateInput	Changes the key used to transform a vehicle into submarine mode. When set to true, the transformation key switches from the default raise/lower convertible roof key (usually 'H') to the special vehicle transformation key (usually 'X').\n\n```\nNativeDB Introduced: v1365\n```\n\n**Parameters**\n- `vehicle`: The vehicle for which the submarine mode should be configured.\n- `useAlternateInput`: A boolean switch to enable/disable the use of alternate input.\n\n```lua\n-- This example sets the key for submarine mode transformation to special vehicle transform \n\n-- Retrieve the player ped\nlocal playerPed = PlayerPedId()\n\n-- Retrieve the vehicle in which the player is currently seated\nlocal vehicle = GetVehiclePedIsIn(playerPed, false)\n\n-- Retrieve the vehicle model hash\nlocal vehicleHash = GetEntityModel(vehicle)\n\n-- Check if the vehicle exists in the game world and if it is a Stromberg.\nif not DoesEntityExist(vehicle) or not vehicleHash == GetHashKey("stromberg") then\n    -- If the vehicle does not exist or it's not a stromberg, end the execution of the code here.\n    return\nend\n\n-- Set the key for submarine mode transformation to special vehicle transform (X by default)\nSetTransformToSubmarineUsesAlternateInput(vehicle, true)\n```
SetTransitionTimecycleModifier	This native doesn't work like [`SetWeatherTypeTransition`](#\\_0x578C752848ECFA0C).\n\n**Parameters**\n- `modifierName`: The name of a timecycle\n- `transition`: The speed to transition to `modifierName`. Appears to be half-seconds (?)
SetTvAudioFrontend	```\nProbably changes tvs from being a 3d audio to being "global" audio\n```
SetTvChannelPlaylist	Loads specified video sequence into the TV Channel\nTV_Channel ranges from 0-2\nVideoSequence can be any of the following:\n"PL_STD_CNT" CNT Standard Channel\n"PL_STD_WZL" Weazel Standard Channel\n"PL_LO_CNT"\n"PL_LO_WZL"\n"PL_SP_WORKOUT"\n"PL_SP_INV" - Jay Norris Assassination Mission Fail\n"PL_SP_INV_EXP" - Jay Norris Assassination Mission Success\n"PL_LO_RS" - Righteous Slaughter Ad\n"PL_LO_RS_CUTSCENE" - Righteous Slaughter Cut-scene\n"PL_SP_PLSH1\\_INTRO"\n"PL_LES1\\_FAME_OR_SHAME"\n"PL_STD_WZL_FOS_EP2"\n"PL_MP_WEAZEL" - Weazel Logo on loop\n"PL_MP_CCTV" - Generic CCTV loop\nRestart:\n0=video sequence continues as normal\n1=sequence restarts from beginning every time that channel is selected\nThe above playlists work as intended, and are commonly used, but there are many more playlists, as seen in `tvplaylists.xml`. A pastebin below outlines all playlists, they will be surronded by the name tag I.E. (<Name>PL_STD_CNT</Name> = PL_STD_CNT).\nhttps://pastebin.com/zUzGB6h7
SetTyreHealth	```\nNativeDB Introduced: v1868\n```
SetTyreSoftnessMultiplier	```\nControls how fast the tires wear out.\nDefault values from Rockstar's Open Wheel Race JSON's:\n"owrtss" (Soft): 2.2\n"owrtsm" (Medium): 1.7\n"owrtsh" (Hard): 1.2\nUsable wheels:\n0: wheel_lf\n1: wheel_rf\n2: wheel_lm1\n3: wheel_rm1\n4: wheel_lr\n5: wheel_rr\n```\n\n```\nNativeDB Introduced: v2060\n```
SetTyreTractionLossMultiplier	```\nControls how much traction the wheel loses.\nDefault values from Rockstar's Open Wheel Race JSON's:\n"owrtds" (Soft): 0.05\n"owrtdm" (Medium): 0.45\n"owrtdh" (Hard): 0.8\nUsable wheels:\n0: wheel_lf\n1: wheel_rf\n2: wheel_lm1\n3: wheel_rm1\n4: wheel_lr\n5: wheel_rr\n```\n\n```\nNativeDB Introduced: v2060\n```
SetTyreWearMultiplier	```\nNativeDB Introduced: v1868\n```
